CODE CLIENT,TOTAL_MONTANT_TTC,NB_FACTURES,MONTANT_MOY_FACTURE,MONTANT_MAX_FACTURE,NATURE_CLIENT,GOUVERNORAT,FREQUENCE_ACHAT,ANCIENNETE_CLIENT,JOURS_DEPUIS_DERNIER_ACHAT,TOTAL_MONTANT_REG,NB_REGLEMENTS,MONTANT_MOY_REG,NB_RETARDS,NB_MODES_PAIEMENT,RETARD_STD,RETARD_PONDERE,RATIO_PAIEMENT,PART_CA_CLIENT,SOLVABLE,NATURE_CLIENT_LABEL,GOUVERNORAT_LABEL
CAPT160012,1366.262,4.0,341.5655,511.848,PAN,Mahdia,123.66666666666667,371.0,295.0,1366.262,4.0,341.5655,0.0,2.0,16.917077170717167,-46.239760748670456,1.0,1.7e-05,1,PAN,Mahdia
CAPT160015,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,617.023,1.0,617.023,0.0,1.0,0.0,-20.0,0.0,0.0,1,INCONNU,INCONNU
CAPT170008,351.73199999999997,2.0,175.86599999999999,341.566,SPN,Sfax,10.0,10.0,285.0,331.4,1.0,331.4,0.0,1.0,0.0,0.0,0.9422,4e-06,1,SPN,Sfax
CAPT170254,121.092,1.0,121.092,121.092,SCN,Sfax,0.0,0.0,265.0,121.092,1.0,121.092,0.0,1.0,0.0,0.0,1.0,2e-06,1,SCN,Sfax
CNGM010002,360445.737,123.0,2930.4531463414637,15210.485,GEM,Tunis,7.073394495412844,771.0,3.0,358328.385,191.0,1876.0648429319372,16.0,3.0,31.718764819354558,-42.37445960637475,0.9941,0.004594,0,GEM,Tunis
CNGM010003,17195.123,2.0,8597.5615,16501.4,GEM,Tunis,3.0,3.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000219,1,GEM,Tunis
CNGM020001,175244.924,141.0,1242.8718014184396,13506.246,GEM,Ariana,6.5,494.0,6.0,112169.638,126.0,890.2352222222223,27.0,4.0,12.068046863599795,-4.789035995640817,0.6401,0.002234,0,GEM,Ariana
CNGM030002,36269.712,7.0,5181.387428571428,14445.829,GEM,Ben Arous,14.0,84.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000462,1,GEM,Ben Arous
CNGT010001,6301.664000000001,8.0,787.7080000000001,1026.361,SCN,Tunis,49.714285714285715,348.0,418.0,3292.996,4.0,823.249,0.0,2.0,0.0,0.0,0.5226,8e-05,1,SCN,Tunis
CNGT010002,8923.774000000001,5.0,1784.7548000000002,2827.919,GRN,Tunis,154.0,616.0,55.0,10376.568,12.0,864.7139999999999,0.0,3.0,15.580213591461307,-27.017127435583713,1.1628,0.000114,1,GRN,Tunis
CNGT010003,4333.401,3.0,1444.4669999999999,1895.074,PAN,Tunis,94.5,189.0,482.0,6091.079000000001,9.0,676.7865555555557,0.0,2.0,15.88150566609546,-38.42354006572563,1.4056,5.5e-05,1,PAN,Tunis
CNGT010004,3197.555,4.0,799.38875,1231.466,SPN,Tunis,144.66666666666666,434.0,122.0,3197.555,5.0,639.511,0.0,2.0,18.0,-12.56296764246432,1.0,4.1e-05,1,SPN,Tunis
CNGT010007,51820.087,23.0,2253.047260869565,6125.177,GRN,Tunis,35.0,735.0,3.0,53458.581,49.0,1090.9914489795917,0.0,4.0,19.56567130318703,-46.53188237450597,1.0316,0.00066,1,GRN,Tunis
CNGT010008,15300.178,8.0,1912.52225,4704.287,GRN,Tunis,89.42857142857143,626.0,59.0,16839.405,18.0,935.5224999999999,0.0,2.0,17.28277884034985,-39.23820705066478,1.1006,0.000195,1,GRN,Tunis
CNGT010011,576596.732,36.0,16016.575888888889,52292.257,GRN,Tunis,22.151515151515152,731.0,3.0,486807.915,58.0,8393.239913793102,0.0,5.0,24.50946212486957,-48.72764114568679,0.8443,0.007349,1,GRN,Tunis
CNGT010012,56589.4,32.0,1768.41875,4360.144,GRN,Tunis,24.032258064516128,745.0,10.0,58891.202,47.0,1253.0042978723404,0.0,3.0,21.69367795455663,-46.24403359945005,1.0407,0.000721,1,GRN,Tunis
CNGT010013,39265.987,13.0,3020.4605384615384,4715.706,GRN,Tunis,58.583333333333336,703.0,31.0,32631.453,20.0,1631.57265,0.0,2.0,14.160773283970052,-23.613184371532583,0.831,0.0005,1,GRN,Tunis
CNGT010014,978.894,2.0,489.447,585.12,SCN,Tunis,270.0,270.0,440.0,978.894,4.0,244.7235,0.0,2.0,18.7533330370897,-14.87026991686536,1.0,1.2e-05,1,SCN,Tunis
CNGT010016,10411.682999999999,6.0,1735.2804999999998,3383.429,GRN,Tunis,139.25,557.0,20.0,10006.399,10.0,1000.6398999999999,0.0,2.0,0.0,0.0,0.9611,0.000133,1,GRN,Tunis
CNGT010018,9709.149,6.0,1618.1915,2478.399,PAN,Tunis,123.2,616.0,115.0,8183.325999999999,10.0,818.3326,0.0,3.0,23.6,-17.86871756056156,0.8428,0.000124,1,PAN,Tunis
CNGT010024,44282.986000000004,14.0,3163.0704285714287,5763.939,GRN,Tunis,52.0,676.0,20.0,40246.324,27.0,1490.6045925925926,0.0,4.0,25.292581474428495,-36.20100342580356,0.9088,0.000564,1,GRN,Tunis
CNGT010026,210.062,2.0,105.031,181.279,SCN,Tunis,20.0,20.0,403.0,151.496,1.0,151.496,0.0,1.0,0.0,0.0,0.7212,3e-06,1,SCN,Tunis
CNGT010027,12811.842,12.0,1067.6535000000001,2216.216,PAN,Tunis,63.3,633.0,87.0,13681.095000000001,19.0,720.0576315789474,0.0,3.0,21.310265691039955,-25.253721211642787,1.0678,0.000163,1,PAN,Tunis
CNGT010030,10369.5,10.0,1036.95,1811.213,GRN,Tunis,45.111111111111114,406.0,178.0,7041.77,11.0,640.1609090909092,0.0,2.0,0.0,0.0,0.6791,0.000132,1,GRN,Tunis
CNGT010031,4336.714,8.0,542.08925,1065.973,PAN,Tunis,67.71428571428571,474.0,54.0,4445.078,10.0,444.50780000000003,1.0,4.0,28.401408415781077,-27.389484054048097,1.025,5.5e-05,1,PAN,Tunis
CNGT010032,4378.806,6.0,729.8009999999999,1237.725,PAN,Tunis,96.2,481.0,180.0,4378.806,7.0,625.5437142857143,0.0,1.0,0.0,0.0,1.0,5.6e-05,1,PAN,Tunis
CNGT010033,3128.3630000000003,4.0,782.0907500000001,941.921,PAN,Tunis,46.0,138.0,577.0,1603.921,3.0,534.6403333333334,0.0,2.0,28.296053906272277,-59.7548133605084,0.5127,4e-05,1,PAN,Tunis
CNGT010037,3787.4139999999998,9.0,420.82377777777776,805.381,SCN,Tunis,52.375,419.0,0.0,4206.376,11.0,382.3978181818182,0.0,2.0,10.924231916945313,-6.82617198272337,1.1106,4.8e-05,1,SCN,Tunis
CNGT010040,72829.764,57.0,1277.7151578947369,2552.905,GRN,Tunis,13.178571428571429,738.0,24.0,73668.012,91.0,809.5385934065935,0.0,4.0,15.103970868552015,-57.42370330286638,1.0115,0.000928,1,GRN,Tunis
CNGT010041,7015.905,7.0,1002.2721428571429,1784.962,PAN,Tunis,81.66666666666667,490.0,171.0,7015.905000000001,11.0,637.8095454545455,0.0,2.0,16.458311974739427,-55.177896650539026,1.0,8.9e-05,1,PAN,Tunis
CNGT010043,12286.461000000001,15.0,819.0974000000001,1842.808,SCN,Tunis,49.0,686.0,66.0,12286.461,17.0,722.733,0.0,3.0,17.46890465248996,-50.38351222536742,1.0,0.000157,1,SCN,Tunis
CNGT010047,14349.77,16.0,896.860625,2527.737,GRN,Tunis,53.285714285714285,746.0,6.0,14337.491,21.0,682.7376666666667,5.0,3.0,20.084289502176976,-12.859280748633076,0.9991,0.000183,0,GRN,Tunis
CNGT010049,15229.617,10.0,1522.9617,3330.065,PAN,Tunis,80.25,642.0,54.0,15208.681,17.0,894.6282941176471,0.0,4.0,19.81942704977404,-60.02586844973605,0.9986,0.000194,1,PAN,Tunis
CNGT010059,4447.654,3.0,1482.5513333333336,2652.703,GRN,Tunis,84.0,168.0,552.0,4447.652,5.0,889.5304,0.0,1.0,19.5386795869117,-44.91075560767794,1.0,5.7e-05,1,GRN,Tunis
CNGT010064,3009.38,4.0,752.345,875.469,GRN,Tunis,166.66666666666666,500.0,220.0,3009.38,4.0,752.345,0.0,2.0,0.0,0.0,1.0,3.8e-05,1,GRN,Tunis
CNGT010065,27479.821,14.0,1962.8443571428572,5613.777,GRN,Tunis,52.90909090909091,582.0,33.0,33893.984,23.0,1473.6514782608695,0.0,5.0,23.295666780267098,-36.473030169601785,1.2334,0.00035,1,GRN,Tunis
CNGT010066,4276.488,1.0,4276.488,4276.488,PAN,Tunis,0.0,0.0,381.0,4276.488,3.0,1425.496,0.0,1.0,3.7712361663282534,-55.25861220702596,1.0,5.5e-05,1,PAN,Tunis
CNGT010068,10950.233,5.0,2190.0466,2518.672,GRN,Tunis,101.25,405.0,237.0,11262.723,8.0,1407.840375,0.0,3.0,29.282033740845257,-42.2294945902514,1.0285,0.00014,1,GRN,Tunis
CNGT010070,670.987,1.0,670.987,670.987,PAN,Tunis,0.0,0.0,360.0,670.987,1.0,670.987,0.0,1.0,0.0,0.0,1.0,9e-06,1,PAN,Tunis
CNGT010071,447.456,1.0,447.456,447.456,SCN,Tunis,0.0,0.0,243.0,447.456,1.0,447.456,0.0,1.0,0.0,0.0,1.0,6e-06,1,SCN,Tunis
CNGT010072,7179.058999999999,6.0,1196.5098333333333,1876.818,PAN,Tunis,98.4,492.0,171.0,8425.687,11.0,765.9715454545454,0.0,2.0,11.59010692411406,-30.40739989510647,1.1736,9.1e-05,1,PAN,Tunis
CNGT010075,5555.648,2.0,2777.824,2852.623,GRN,Tunis,70.0,70.0,153.0,5555.647999999999,5.0,1111.1295999999998,0.0,1.0,0.0,0.0,1.0,7.1e-05,1,GRN,Tunis
CNGT010077,6481.448,3.0,2160.482666666667,2681.414,GRN,Tunis,166.5,333.0,328.0,6481.448,6.0,1080.2413333333334,0.0,2.0,1.247219128924647,-62.884690581487334,1.0,8.3e-05,1,GRN,Tunis
CNGT010078,10228.746,6.0,1704.791,3475.016,GRN,Tunis,162.25,649.0,82.0,10175.538,17.0,598.5610588235295,0.0,2.0,6.010371658562259,-56.951269603631765,0.9948,0.00013,1,GRN,Tunis
CNGT010082,895.235,2.0,447.6175,551.991,PAN,Tunis,126.0,126.0,384.0,1504.335,3.0,501.445,0.0,1.0,0.0,0.0,1.6804,1.1e-05,1,PAN,Tunis
CNGT010083,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,994.257,1.0,994.257,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CNGT010084,13674.89,9.0,1519.4322222222222,2267.644,GRN,Tunis,84.875,679.0,76.0,12889.511999999999,16.0,805.5944999999999,6.0,4.0,13.295764128097339,-8.194568731539254,0.9426,0.000174,0,GRN,Tunis
CNGT010087,13802.381,13.0,1061.7216153846152,1759.625,PAN,Tunis,65.54545454545455,721.0,27.0,14405.582,17.0,847.3871764705882,0.0,2.0,28.24105333420844,-48.2104657763914,1.0437,0.000176,1,PAN,Tunis
CNGT010088,532.316,1.0,532.316,532.316,PAN,Tunis,0.0,0.0,594.0,532.316,1.0,532.316,0.0,1.0,0.0,0.0,1.0,7e-06,1,PAN,Tunis
CNGT010092,14102.593,3.0,4700.864333333334,5783.329,GRN,Tunis,182.0,364.0,297.0,14102.593,8.0,1762.824125,0.0,2.0,5.956876278721928,-51.3751718566933,1.0,0.00018,1,GRN,Tunis
CNGT010095,33031.854999999996,12.0,2752.654583333333,6021.361,GRN,Tunis,55.09090909090909,606.0,125.0,30009.729,18.0,1667.2071666666666,0.0,4.0,16.669629366301958,-3.0863741888505563,0.9085,0.000421,1,GRN,Tunis
CNGT010096,28419.661,11.0,2583.6055454545453,5603.089,GRN,Tunis,64.0,640.0,94.0,25853.961,16.0,1615.8725625,0.0,4.0,25.268557536986556,-27.267690316389036,0.9097,0.000362,1,GRN,Tunis
CNGT010099,3038.87,4.0,759.7175,1432.333,GRN,Tunis,197.0,591.0,98.0,2480.1279999999997,5.0,496.02559999999994,0.0,2.0,20.095770699328753,-29.19429158495046,0.8161,3.9e-05,1,GRN,Tunis
CNGT010100,6047.953,9.0,671.9947777777778,1209.604,PAN,Tunis,78.5,628.0,138.0,4157.557,7.0,593.9367142857143,0.0,2.0,0.0,0.0,0.6874,7.7e-05,1,PAN,Tunis
CNGT010103,11841.575,4.0,2960.39375,5550.369,GRN,Tunis,52.0,156.0,3.0,13001.137999999999,11.0,1181.9216363636363,0.0,2.0,21.738110648017564,-27.298354420974533,1.0979,0.000151,1,GRN,Tunis
CNGT010104,10347.821,6.0,1724.6368333333332,2647.792,PAN,Tunis,118.8,594.0,76.0,10326.304,11.0,938.7549090909091,2.0,2.0,2.596883064924673,-1.2776346696746486,0.9979,0.000132,1,PAN,Tunis
CNGT010105,4977.101,18.0,276.5056111111111,383.218,SCN,Tunis,40.529411764705884,689.0,38.0,5467.777,20.0,273.38885,0.0,3.0,20.718289022021096,-36.667890991165144,1.0986,6.3e-05,1,SCN,Tunis
CNGT010106,42866.131,12.0,3572.1775833333336,8751.691,GRN,Tunis,54.5,545.0,125.0,42834.856,21.0,2039.7550476190477,0.0,3.0,0.0,0.0,0.9993,0.000546,1,GRN,Tunis
CNGT010107,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,12048.607,1.0,12048.607,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CNGT010108,5690.308,9.0,632.2564444444445,921.827,PAN,Tunis,88.0,704.0,13.0,6346.565,10.0,634.6564999999999,0.0,2.0,10.545141061171254,-51.50053879539561,1.1153,7.3e-05,1,PAN,Tunis
CNGT010109,5367.87,6.0,894.645,923.581,GRN,Tunis,105.75,423.0,339.0,5367.87,6.0,894.645,0.0,2.0,19.593082679580792,-19.511349566960455,1.0,6.8e-05,1,GRN,Tunis
CNGT010110,307.182,1.0,307.182,307.182,SCN,Tunis,0.0,0.0,622.0,307.182,1.0,307.182,0.0,1.0,0.0,0.0,1.0,4e-06,1,SCN,Tunis
CNGT010115,12111.497,8.0,1513.937125,2609.521,GRN,Tunis,98.0,588.0,115.0,12986.086,16.0,811.630375,0.0,2.0,0.0,0.0,1.0722,0.000154,1,GRN,Tunis
CNGT010116,36823.925,28.0,1315.1401785714286,2683.986,PAN,Tunis,29.0,696.0,24.0,37464.99,43.0,871.2788372093023,0.0,3.0,14.78433386571385,-52.673090290428476,1.0174,0.000469,1,PAN,Tunis
CNGT010117,46923.627,8.0,5865.453375,9568.549,GRN,Tunis,91.33333333333333,548.0,115.0,42731.791,14.0,3052.2707857142855,1.0,3.0,11.4564392373896,1.2034047437889979,0.9107,0.000598,1,GRN,Tunis
CNGT010120,1404.008,1.0,1404.008,1404.008,GRN,Tunis,0.0,0.0,619.0,1404.008,2.0,702.004,0.0,1.0,0.0,-40.0,1.0,1.8e-05,1,GRN,Tunis
CNGT010121,594.205,1.0,594.205,594.205,GRN,Tunis,0.0,0.0,510.0,594.205,1.0,594.205,0.0,1.0,0.0,0.0,1.0,8e-06,1,GRN,Tunis
CNGT010122,1838.968,4.0,459.742,1260.182,PAN,Tunis,134.5,269.0,465.0,1648.5539999999999,3.0,549.5179999999999,0.0,1.0,0.0,0.0,0.8965,2.3e-05,1,PAN,Tunis
CNGT010123,151652.68,39.0,3888.5302564102562,30423.261,GRN,Tunis,12.827586206896552,372.0,10.0,147296.412,60.0,2454.9402,0.0,2.0,20.40954977999814,-40.020915071576894,0.9713,0.001933,1,GRN,Tunis
CNGT010125,1588.418,1.0,1588.418,1588.418,PAN,Tunis,0.0,0.0,225.0,1588.418,1.0,1588.418,0.0,1.0,0.0,0.0,1.0,2e-05,1,PAN,Tunis
CNGT010133,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,35.046,1.0,35.046,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CNGT010136,4940.794,12.0,411.7328333333333,981.451,SCN,Tunis,63.27272727272727,696.0,63.0,4461.265,10.0,446.1265,0.0,1.0,0.0,0.0,0.9029,6.3e-05,1,SCN,Tunis
CNGT010137,1555.601,4.0,388.90025,738.344,SCN,Tunis,51.0,153.0,176.0,716.913,4.0,179.22825,0.0,2.0,0.0,0.0,0.4609,2e-05,1,SCN,Tunis
CNGT010150,3127.0339999999997,3.0,1042.3446666666666,1213.628,GRN,Tunis,269.5,539.0,122.0,3127.034,4.0,781.7585,0.0,2.0,5.744562646538029,-47.927332417875846,1.0,4e-05,1,GRN,Tunis
CNGT010151,148.332,2.0,74.166,141.835,SCN,Tunis,9.0,9.0,743.0,135.338,1.0,135.338,0.0,1.0,0.0,0.0,0.9124,2e-06,1,SCN,Tunis
CNGT010152,64193.131,13.0,4937.933153846154,8745.321,GRN,Tunis,63.888888888888886,575.0,159.0,58067.831,35.0,1659.0808857142856,0.0,5.0,12.398354071144661,-7.1698099589771145,0.9046,0.000818,1,GRN,Tunis
CNGT010153,58979.846,10.0,5897.9846,28816.638,GRN,Tunis,66.66666666666667,600.0,54.0,58979.846,24.0,2457.4935833333334,0.0,5.0,21.520661906384035,-47.28313990511268,1.0,0.000752,1,GRN,Tunis
CNGT010154,2382.637,1.0,2382.637,2382.637,GRN,Tunis,0.0,0.0,237.0,2382.637,2.0,1191.3185,0.0,1.0,0.0,0.0,1.0,3e-05,1,GRN,Tunis
CNGT010155,8332.278,12.0,694.3565,1363.293,SCN,Tunis,31.8,318.0,143.0,6265.052,12.0,522.0876666666667,0.0,1.0,0.0,0.0,0.7519,0.000106,1,SCN,Tunis
CNGT010156,183.552,2.0,91.776,92.776,SCN,Tunis,15.0,15.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,1,SCN,Tunis
CNGT010157,3045.851,11.0,276.89554545454547,437.12,SCN,Tunis,28.6,286.0,140.0,2608.735,9.0,289.8594444444445,0.0,1.0,0.0,0.0,0.8565,3.9e-05,1,SCN,Tunis
CNGT010158,568.546,4.0,142.1365,238.381,SCN,Tunis,72.33333333333333,217.0,206.0,568.546,4.0,142.1365,0.0,1.0,0.0,0.0,1.0,7e-06,1,SCN,Tunis
CNGT010159,453.296,1.0,453.296,453.296,SCN,Tunis,0.0,0.0,423.0,453.296,1.0,453.296,0.0,1.0,0.0,0.0,1.0,6e-06,1,SCN,Tunis
CNGT010160,567.623,4.0,141.90575,198.872,SCN,Tunis,64.66666666666667,194.0,225.0,567.623,4.0,141.90575,0.0,2.0,0.0,0.0,1.0,7e-06,1,SCN,Tunis
CNGT010161,929.8739999999999,4.0,232.46849999999998,655.543,SCN,Tunis,44.333333333333336,133.0,286.0,274.331,3.0,91.44366666666667,0.0,1.0,0.0,0.0,0.295,1.2e-05,1,SCN,Tunis
CNGT010162,239.236,1.0,239.236,239.236,SCN,Tunis,0.0,0.0,419.0,239.236,1.0,239.236,0.0,1.0,0.0,0.0,1.0,3e-06,1,SCN,Tunis
CNGT010163,16834.970999999998,8.0,2104.3713749999997,5454.105,GRN,Tunis,56.285714285714285,394.0,24.0,13511.373,10.0,1351.1372999999999,1.0,2.0,16.609936784948943,-13.921682126605491,0.8026,0.000215,1,GRN,Tunis
CNGT010164,2649.031,13.0,203.7716153846154,338.718,SCN,Tunis,28.583333333333332,343.0,76.0,2648.801,13.0,203.75392307692306,0.0,1.0,0.0,0.0,0.9999,3.4e-05,1,SCN,Tunis
CNGT010165,341.121,1.0,341.121,341.121,SCN,Tunis,0.0,0.0,418.0,341.121,1.0,341.121,0.0,1.0,0.0,0.0,1.0,4e-06,1,SCN,Tunis
CNGT010166,25661.961,9.0,2851.3289999999997,6981.902,GRN,Tunis,65.83333333333333,395.0,3.0,16649.162,10.0,1664.9162000000001,0.0,2.0,16.14806489954756,-35.36405682159859,0.6488,0.000327,1,GRN,Tunis
CNGT010167,107.126,1.0,107.126,107.126,SCN,Tunis,0.0,0.0,395.0,107.126,1.0,107.126,0.0,1.0,0.0,0.0,1.0,1e-06,1,SCN,Tunis
CNGT010169,8591.578,6.0,1431.9296666666667,2366.515,GRN,Tunis,41.4,207.0,181.0,8591.578,9.0,954.6197777777777,0.0,2.0,30.930427705169087,-43.15731254491317,1.0,0.00011,1,GRN,Tunis
CNGT010170,682.283,1.0,682.283,682.283,GRN,Tunis,0.0,0.0,388.0,682.283,1.0,682.283,0.0,1.0,0.0,0.0,1.0,9e-06,1,GRN,Tunis
CNGT010171,12544.718,6.0,2090.7863333333335,3307.597,GRN,Tunis,59.0,236.0,127.0,6383.464,6.0,1063.9106666666667,0.0,2.0,21.73131381210073,-57.49069345421232,0.5089,0.00016,1,GRN,Tunis
CNGT010172,387.549,2.0,193.7745,269.025,PAN,Tunis,3.0,3.0,248.0,387.549,2.0,193.7745,0.0,1.0,0.0,0.0,1.0,5e-06,1,PAN,Tunis
CNGT010173,17308.227,16.0,1081.7641875,3404.218,GRN,Tunis,20.642857142857142,289.0,4.0,8892.866,18.0,494.0481111111111,0.0,1.0,0.0,0.0,0.5138,0.000221,1,GRN,Tunis
CNGT010174,12114.342,3.0,4038.114,7902.089,GRN,Tunis,31.5,63.0,223.0,16200.128,7.0,2314.304,0.0,3.0,21.497033492544777,-35.25825197183627,1.3373,0.000154,1,GRN,Tunis
CNGT010175,9042.178,7.0,1291.7397142857142,1756.612,GRN,Tunis,69.0,207.0,34.0,4606.629,6.0,767.7715,0.0,1.0,2.8284271247461903,-60.75327685385562,0.5095,0.000115,1,GRN,Tunis
CNGT010177,2063.294,1.0,2063.294,2063.294,SPN,Tunis,0.0,0.0,188.0,2063.294,2.0,1031.647,0.0,1.0,0.0,-48.00000000000001,1.0,2.6e-05,1,SPN,Tunis
CNGT010178,4153.889,4.0,1038.47225,3070.288,GRN,Tunis,5.666666666666667,17.0,94.0,4153.889,5.0,830.7778000000001,0.0,1.0,0.0,-51.0,1.0,5.3e-05,1,GRN,Tunis
CNGT020002,979.3679999999999,2.0,489.68399999999997,680.328,PAN,Ariana,95.0,95.0,615.0,979.3679999999999,2.0,489.68399999999997,0.0,1.0,0.0,0.0,1.0,1.2e-05,1,PAN,Ariana
CNGT020004,2776.2200000000003,4.0,694.0550000000001,1006.599,SCN,Ariana,79.33333333333333,238.0,454.0,3191.729,8.0,398.966125,0.0,3.0,15.337352281277235,-18.902240447105626,1.1497,3.5e-05,1,SCN,Ariana
CNGT020005,3800.979,16.0,237.5611875,360.789,SCN,Ariana,46.2,693.0,38.0,3800.979,20.0,190.04895,1.0,3.0,0.21794494717703364,0.05739205609923127,1.0,4.8e-05,0,SCN,Ariana
CNGT020006,2861.045,6.0,476.84083333333336,698.633,SCN,Ariana,100.0,500.0,143.0,2861.045,6.0,476.84083333333336,0.0,2.0,26.567001252598224,-37.29858425854889,1.0,3.6e-05,1,SCN,Ariana
CNGT020011,14647.642,16.0,915.477625,2200.234,PAN,Ariana,48.07142857142857,673.0,54.0,13799.972,19.0,726.3143157894737,0.0,3.0,16.422064746137004,-43.5998152749875,0.9421,0.000187,1,PAN,Ariana
CNGT020012,7241.860000000001,6.0,1206.9766666666667,1463.78,GRN,Ariana,62.4,312.0,388.0,7241.860000000001,12.0,603.4883333333333,0.0,1.0,0.0,0.0,1.0,9.2e-05,1,GRN,Ariana
CNGT020014,2545.4390000000003,3.0,848.4796666666667,1365.708,SCN,Ariana,87.5,175.0,419.0,2345.526,4.0,586.3815,0.0,1.0,0.0,0.0,0.9215,3.2e-05,1,SCN,Ariana
CNGT020016,76494.586,18.0,4249.699222222222,12335.784,GRN,Ariana,42.6875,683.0,27.0,79268.91,33.0,2402.088181818182,2.0,5.0,22.87756368388454,-46.058334509708786,1.0363,0.000975,1,GRN,Ariana
